time,latitude,longitude,VHM0,VHM0_SW1,VHM0_SW2,VHM0_WW
2021-07-01,36.52083206176758,10.875000953674316,0.38200003,0.307,0.14600001,0.172
2021-07-01,36.52083206176758,10.916667938232422,0.41400003,0.31,0.16000001,0.22100002
2021-07-01,36.52083206176758,10.958333969116211,0.44300002,0.312,0.16600001,0.26500002
2021-07-01,36.52083206176758,11.000000953674316,0.46600002,0.314,0.165,0.29900002
2021-07-01,36.52083206176758,11.041667938232422,0.47800002,0.316,0.14500001,0.312
2021-07-01,36.52083206176758,11.083333969116211,0.48400003,0.31800002,0.13900001,0.317
2021-07-01,36.52083206176758,11.125000953674316,0.48800004,0.31800002,0.135,0.31800002
2021-07-01,36.52083206176758,11.166667938232422,0.499,0.31800002,0.124000005,0.33100003
2021-07-01,36.52083206176758,11.208333969116211,0.51100004,0.31800002,0.127,0.347
2021-07-01,36.52083206176758,11.250000953674316,0.523,0.32000002,0.165,0.36400002
2021-07-01,36.52083206176758,11.291667938232422,0.53300005,0.323,0.164,0.37300003
2021-07-01,36.52083206176758,11.333333969116211,0.54200006,0.32700002,0.16000001,0.381
2021-07-01,36.52083206176758,11.375000953674316,0.551,0.33100003,0.156,0.38700002
2021-07-01,36.52083206176758,11.416667938232422,0.56,0.33600003,0.15,0.393
2021-07-01,36.52083206176758,11.458333969116211,0.569,0.34,0.123,0.39800003
2021-07-01,36.52083206176758,11.500000953674316,0.578,0.344,0.18400002,0.39200002
2021-07-01,36.52083206176758,11.541667938232422,0.58500004,0.347,0.18900001,0.386
2021-07-01,36.52083206176758,11.583333969116211,0.592,0.351,0.16800001,0.38700002
2021-07-01,36.52083206176758,11.625000953674316,0.59900004,0.35300002,0.17400001,0.384
2021-07-01,36.52083206176758,11.666667938232422,0.606,0.356,0.18300001,0.38300002
2021-07-01,36.52083206176758,11.708333969116211,0.61200005,0.35900003,0.22900002,0.374
2021-07-01,36.52083206176758,11.750000953674316,0.61800003,0.36100003,0.263,0.37100002
2021-07-01,36.52083206176758,11.791667938232422,0.625,0.365,0.15400001,0.36
2021-07-01,36.52083206176758,11.833333969116211,0.632,0.36800003,0.163,0.354
2021-07-01,36.52083206176758,11.875000953674316,0.637,0.372,0.171,0.35200003
